"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Standardization check: Ensures the node runs a supported Linux version.","1589","Audit: OS Distribution Compliance","tests","Mon Mar 30 04:34:56 UTC 2026","passed","Mon Mar 30 04:34:57 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-003: Intrusion Prevention System (Fail2Ban).
        Self-Healing 2.0: Install if missing, AND restart if stopped/crashed.
        ","2810","test_fail2ban_status[RU-MOW]","tests","Mon Mar 30 04:34:33 UTC 2026","passed","Mon Mar 30 04:34:36 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","2977","Network: Download Speed via Global CDN","tests","Mon Mar 30 04:34:43 UTC 2026","passed","Mon Mar 30 04:34:46 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","3889","test_os_version[DE-DUS]","tests","Mon Mar 30 04:34:23 UTC 2026","passed","Mon Mar 30 04:34:27 UTC 2026","TestSecurityRules","test_audit_rules","",""
"Standardization check: Ensures the node runs a supported Linux version.","1234","Audit: OS Distribution Compliance","tests","Mon Mar 30 04:34:57 UTC 2026","passed","Mon Mar 30 04:34:59 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
    Verifies that the Telegram Bot API is accessible and can send documents.
    This acts as a 'Canary' test for our Disaster Recovery alerting channel.
    ","756","test_telegram_connection","tests","Mon Mar 30 04:35:08 UTC 2026","passed","Mon Mar 30 04:35:08 UTC 2026","","test_telegram_api","",""
"
        REQ-002: Firewall (UFW) must be active.
        Logic: We check the command output 'ufw status' explicitly.
        We expect to see 'Status: active'. This covers both Ubuntu and Debian correctly,
        avoiding false negatives from systemd service status.
        ","352","test_firewall_status[AT-VIE]","tests","Mon Mar 30 04:34:27 UTC 2026","passed","Mon Mar 30 04:34:28 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","1640","Network: Download Speed via Global CDN","tests","Mon Mar 30 04:34:39 UTC 2026","passed","Mon Mar 30 04:34:41 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","1800","Audit: Fail2Ban Service with Self-Healing","tests","Mon Mar 30 04:35:02 UTC 2026","passed","Mon Mar 30 04:35:04 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies that the server is reachable and accepting SSH commands.
        This is the foundation for all other infrastructure tests.
        ","306","Smoke Test: SSH Connectivity","tests","Mon Mar 30 04:34:52 UTC 2026","passed","Mon Mar 30 04:34:53 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Verifies Fail2Ban service.
        If it is missing or stopped, the test attempts to fix the system automatically.
        ","2212","Audit: Fail2Ban Service with Self-Healing","tests","Mon Mar 30 04:35:04 UTC 2026","passed","Mon Mar 30 04:35:06 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","350","Audit: Firewall (UFW) Status","tests","Mon Mar 30 04:34:59 UTC 2026","passed","Mon Mar 30 04:34:59 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon Mar 30 04:34:39 UTC 2026","skipped","Mon Mar 30 04:34:39 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon Mar 30 04:34:39 UTC 2026","skipped","Mon Mar 30 04:34:39 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","380","Audit: Firewall (UFW) Status","tests","Mon Mar 30 04:35:00 UTC 2026","passed","Mon Mar 30 04:35:00 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
"
        REQ-004: OS Standardization (Ubuntu/Debian).
        Logic: Verify that the server runs a supported Linux distribution.
        This prevents 'configuration drift' where servers become too different to manage.
        ","3090","test_os_version[AT-VIE]","tests","Mon Mar 30 04:34:17 UTC 2026","passed","Mon Mar 30 04:34:20 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Measures the Round-Trip Time (RTT) from the local machine to the server.
        Ensures that latency is within acceptable limits for a stable VPN connection.
        ","0","Network: Latency and Packet Loss (Client to Server)","tests","Mon Mar 30 04:34:39 UTC 2026","skipped","Mon Mar 30 04:34:39 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"
        REQ-001: SSH Root Login must be disabled.
        Logic: Check /etc/ssh/sshd_config for 'PermitRootLogin no'.
        (Marked as xfail: Currently we use root user for automation, architectural exception).
        ","374","test_ssh_root_login_disabled[RU-MOW]","tests","Mon Mar 30 04:34:39 UTC 2026","skipped","Mon Mar 30 04:34:39 UTC 2026","TestSecurityRules","test_audit_rules","",""
"
        Verifies the server's internet bandwidth by downloading a test file from a Global CDN.
        This simulates real-world heavy usage (e.g., 4K video streaming).
        ","5890","Network: Download Speed via Global CDN","tests","Mon Mar 30 04:34:46 UTC 2026","passed","Mon Mar 30 04:34:52 UTC 2026","TestNetworkPerformance","Network Performance & Capacity","",""
"Ensures that the Uncomplicated Firewall (UFW) is active and protecting the node.","378","Audit: Firewall (UFW) Status","tests","Mon Mar 30 04:34:59 UTC 2026","failed","Mon Mar 30 04:35:00 UTC 2026","TestSecurityInfrastructure","Infrastructure Security Audit","",""
